auct_id,item_leaf_category_name,listing_title,listing_subtitle,listing_start_date,listing_end_date,listing_durtn_days,listing_type_code,feedback_score_at_listing_time,start_price,buy_it_now_price,buy_it_now_listed_flag,bold_fee_flag,featured_fee_flag,category_featured_fee_flag,gallery_fee_flag,gallery_featured_fee_flag,ipix_featured_fee_flag,reserve_fee_flag,highlight_fee_flag,schedule_fee_flag,border_fee_flag,qty_available_per_listing,category_avg_gms
2,Audio & Hi-Fi:MP3-Player:Apple iPod:iPod Mini 4 GB:Gr¸n,Apple iPod mini 4 GB 2. Gen. 2005 silber blau pink gr¸n,,6/24/05,11/3/05,132,7,2182,195,0,N,N,N,N,Y,N,N,N,N,N,N,48,164.757
10,Audio & Hi-Fi:MP3-Player:Apple iPod:iPod Mini 4 GB:Gr¸n,ipod mini 4 GB gr¸n Neu & Originalverpackt,,9/22/05,10/2/05,10,1,231,1,189,Y,N,N,N,Y,N,N,N,N,Y,Y,1,164.757
11,Audio & Hi-Fi:MP3-Player:Apple iPod:iPod Mini 4 GB:Gr¸n,"Apple iPod Mini 4GB Gr¸n/Green, mit Garantie",,9/21/05,10/1/05,10,1,12,1,0,N,N,N,N,N,N,N,N,N,N,N,1,164.757
12,Audio & Hi-Fi:MP3-Player:Apple iPod:iPod Mini 4 GB:Gr¸n,Apple iPod mini 4 GB blau,,9/21/05,10/1/05,10,1,4,1,0,N,N,N,N,N,N,N,N,N,N,N,1,164.757
13,Audio & Hi-Fi:MP3-Player:Apple iPod:40 GB,Apple iPod 4G 40GB - komplettes Zubehˆr - OVP!,,9/22/05,10/2/05,10,1,7,1,0,N,N,N,N,Y,N,N,N,N,N,N,1,221.153
16,Audio & Hi-Fi:MP3-Player:Apple iPod:iPod Mini 4 GB:Silber,Apple iPod mini  4 GB  Silber  - ABSOLUT NEU,,9/24/05,10/4/05,10,1,31,1,0,N,N,N,N,Y,N,N,N,N,Y,Y,1,167.977
17,Audio & Hi-Fi:MP3-Player:Apple iPod:iPod Mini 4 GB:Silber,"Apple iPod Mini, Silber, 4Gb, kaum benutzt, Garantie!",Das absolute Komplettpaket mit allem !!!,9/22/05,10/2/05,10,1,340,1.99,175,Y,N,N,N,Y,N,Y,N,N,N,N,1,167.977
19,Audio & Hi-Fi:MP3-Player:Apple iPod:iPod Mini 4 GB:Blau,APPLE iPod Mini blau mit 4 GB **NEU und OVP*** TOP**,,9/22/05,10/2/05,10,1,208,50,0,N,N,N,N,Y,N,N,N,N,N,N,1,161.512
21,Audio & Hi-Fi:MP3-Player:Apple iPod:40 GB,Apple iPod 40Gb defekt + Zubehˆr,Dock Connector USB/FW+Remote+Earphones+Power Adapter,9/22/05,10/2/05,10,1,315,1.99,0,N,N,N,N,Y,N,N,N,N,N,N,1,221.153
23,Audio & Hi-Fi:MP3-Player:Apple iPod:iPod Mini 4 GB:Blau,"Apple IPOD MINI 4GB, blau, mit OVP und Rechnung",,9/25/05,10/2/05,7,1,16,1,0,N,N,N,N,Y,N,Y,N,N,Y,N,1,161.512
28,Audio & Hi-Fi:MP3-Player:Apple iPod:40 GB,"APPLE ipod 40GB, cooler MP3 Player, MP 3, Guckst du;-)",,9/23/05,10/3/05,10,1,2924,1.99,0,N,N,N,N,Y,N,N,N,N,Y,N,1,221.153
30,Audio & Hi-Fi:MP3-Player:Apple iPod:iPod Mini 4 GB:Silber,"iPod mini, silber, orginale Lautst‰rke!",,9/23/05,10/3/05,10,1,16,1,0,N,N,N,N,N,N,N,N,N,N,N,1,167.977
33,Audio & Hi-Fi:MP3-Player:Apple iPod:iPod Mini 4 GB:Silber,** APPLE iPOD MINI 4 GB SILBER + ZUBEH÷R - 1A ZUSTAND *,,9/24/05,10/1/05,7,1,108,1,0,N,N,N,N,Y,N,Y,N,N,Y,N,1,167.977
34,Audio & Hi-Fi:MP3-Player:Apple iPod:iPod Mini 4 GB:Silber,"Appel iPod mini 4GB, silber, OVP, Garantie",inkl. Reisenetzteil,9/25/05,10/2/05,7,1,24,1,0,N,Y,N,N,Y,N,Y,N,N,Y,N,1,167.977
38,Audio & Hi-Fi:MP3-Player:Apple iPod:iPod Mini 4 GB:Blau,IPod Mini blau 4 GB (wie Neu),,9/25/05,10/2/05,7,1,169,1,0,N,N,N,N,N,N,N,N,N,Y,N,1,161.512
41,Audio & Hi-Fi:MP3-Player:Apple iPod:iPod Mini 4 GB:Silber,"IPOD Mini 4GB, 2 Monate alt, wie neu, inkl. Rechnung!",,9/24/05,10/1/05,7,1,93,1,0,N,N,N,N,N,N,N,N,N,Y,N,1,167.977
42,Audio & Hi-Fi:MP3-Player:Apple iPod:iPod Mini 4 GB:Gold,## iPod 6GB in GOLD !! - bis zu 1000 Songs - TOP! ###,,9/25/05,10/2/05,7,1,182,1,169,Y,N,N,N,Y,N,Y,N,N,Y,N,1,158.578
44,Audio & Hi-Fi:MP3-Player:Apple iPod:iPod Mini 4 GB:Gr¸n,"iPod mini 4GB gr¸n, neuwertig!","m. Zubehˆr, z. B. FireWire-Kabel. iPod-Socke ab 150,-",9/24/05,10/1/05,7,1,81,1,0,N,N,N,N,Y,N,N,N,N,N,N,1,164.757
47,Audio & Hi-Fi:MP3-Player:Apple iPod:iPod Mini 4 GB:Silber,"iPod mini 4GB mit Schutzh¸lle, neuwertig und OVP",,9/25/05,10/2/05,7,1,79,120,170,Y,N,N,N,N,N,N,N,N,Y,N,1,167.977
50,Audio & Hi-Fi:MP3-Player:Apple iPod:iPod Mini 4 GB:Gr¸n,<<<   IPOD Mini- 4GB- Gr¸n- OVP!  +Zubehˆr!!!!>>>>>,,9/25/05,10/2/05,7,1,67,1,0,N,N,N,N,N,N,Y,N,N,Y,N,1,164.757
51,Audio & Hi-Fi:MP3-Player:Apple iPod:iPod Mini 4 GB:Silber,"iPod mini 4GB silber (fast unbenutzt, Originalzubehˆr)",,9/25/05,10/2/05,7,1,87,1,170,Y,N,N,N,Y,N,Y,N,N,N,N,1,167.977
53,Audio & Hi-Fi:MP3-Player:Apple iPod:iPod Mini 4 GB:Blau,i-Pod Mini + In-Ear Headphones,,9/25/05,10/2/05,7,1,13,50,0,N,N,N,N,N,N,Y,N,N,N,N,1,161.512
54,Audio & Hi-Fi:MP3-Player:Apple iPod:iPod Mini 4 GB:Gold,Gut erhaltener Apple Ipod Mini,,9/25/05,10/2/05,7,1,30,1,0,N,N,N,N,Y,N,N,N,N,N,N,1,158.578
55,Audio & Hi-Fi:MP3-Player:Apple iPod:iPod Mini 4 GB:Pink,Apple iPod mini pink OVP inkl. Firewire Kabel! TOP,,9/25/05,10/2/05,7,1,102,1,0,N,N,N,N,N,N,Y,N,Y,Y,N,1,173.45
56,Audio & Hi-Fi:MP3-Player:Apple iPod:40 GB,gebrauchter ipod photo,,9/25/05,10/2/05,7,1,23,1,280,Y,Y,N,N,N,N,Y,N,N,N,N,1,221.153
57,Audio & Hi-Fi:MP3-Player:Apple iPod:40 GB,Apple iPod 40GB (4. Generation s/w) mit viel Zubehˆr!!,,9/25/05,10/2/05,7,1,4,1,0,N,N,N,N,N,N,Y,N,N,N,N,1,221.153
58,Audio & Hi-Fi:MP3-Player:Apple iPod:40 GB,Apple IPod 40 GB - 4.Generation mit Klick-Wheel,,9/25/05,10/2/05,7,1,33,1,0,N,N,N,N,Y,N,N,N,N,N,N,1,221.153
59,Audio & Hi-Fi:MP3-Player:Apple iPod:iPod Mini 4 GB:Gr¸n,I Pod Mini in Blau mit 4 GB und Kabelfernbedienung,,9/25/05,10/2/05,7,1,56,1,0,N,N,N,N,N,N,Y,N,N,Y,N,1,164.757
60,Audio & Hi-Fi:MP3-Player:Apple iPod:iPod Mini 4 GB:Silber,ACHTUNG!! Neu&OVP Apple iPod mini MP3-Player 4GB Silver,,9/25/05,10/2/05,7,1,8,1,0,N,N,N,N,N,N,N,N,N,N,N,1,167.977
62,Audio & Hi-Fi:MP3-Player:Apple iPod:iPod Mini 4 GB:Blau,apple ipod mini 4 gb blau neuwertig,,9/25/05,10/2/05,7,1,82,1,0,N,N,N,N,Y,N,N,N,N,Y,N,1,161.512
68,Audio & Hi-Fi:MP3-Player:Apple iPod:iPod Mini 4 GB:Silber,Apple iPod mini silber mit Zubehˆr,,9/25/05,10/2/05,7,1,0,1,0,N,N,N,N,N,N,N,N,N,N,N,1,167.977
69,Audio & Hi-Fi:MP3-Player:Apple iPod:iPod Mini 4 GB:Gr¸n,Apple iPod Mini (4GB) 2.Generation,,9/25/05,10/2/05,7,1,448,1,0,N,N,N,N,Y,N,N,N,N,N,N,1,164.757
75,Audio & Hi-Fi:MP3-Player:Apple iPod:iPod Mini 4 GB:Blau,"iPod mini 4GB blue, OVP, neuw., unbenutzt, viel Zub. !!",,9/25/05,10/2/05,7,1,52,1,0,N,N,N,N,N,N,Y,N,N,N,N,1,161.512
77,Audio & Hi-Fi:MP3-Player:Apple iPod:iPod Mini 4 GB:Gr¸n,Apple iPod mini Neu 4GB OVP Gr¸n,,9/25/05,10/2/05,7,1,24,1,0,N,N,N,N,Y,N,N,N,N,Y,N,1,164.757
78,Audio & Hi-Fi:MP3-Player:Apple iPod:40 GB,Apple 40 GB iPod 3.GEN inkl Neuer Akku !,,9/25/05,10/2/05,7,1,3817,1,0,N,N,N,N,Y,N,N,N,N,N,N,1,221.153
82,Audio & Hi-Fi:MP3-Player:Apple iPod:iPod Mini 4 GB:Silber,APPLE IPOD MINI 4GB SILBER NEU OVP MIT GARANTIE,"NUR 185,- ˇ STATT 199,- ˇ BEI UE2000 JETZT ZUGREIFEN !!",9/26/05,10/6/05,10,9,7081,185,0,N,N,N,N,Y,N,N,N,N,N,N,5,167.977
83,Audio & Hi-Fi:MP3-Player:Apple iPod:40 GB,APPLE IPOD 4.GENERATION 40 GB,,9/26/05,10/1/05,5,1,19,200,0,N,Y,N,N,N,N,N,N,N,N,N,1,221.153
88,Audio & Hi-Fi:MP3-Player:Apple iPod:iPod Mini 4 GB:Silber,Apple Ipod mini 4 gb silber,,10/2/05,10/9/05,7,1,12,1,0,N,N,N,N,N,N,N,N,N,Y,N,1,167.977
90,Audio & Hi-Fi:MP3-Player:Apple iPod:40 GB,Apple iPod Photo 40 GB + Zubehˆr und Contour Showcase,,9/26/05,10/6/05,10,1,341,299,0,N,N,N,N,N,N,N,N,N,N,N,1,221.153
91,Audio & Hi-Fi:MP3-Player:Apple iPod:iPod Mini 4 GB:Silber,Apple - iPod mini 4 GB Silber (NEU & OVP),,9/26/05,10/3/05,7,1,1,1,0,N,Y,N,N,Y,N,Y,N,N,N,Y,1,167.977
93,Audio & Hi-Fi:MP3-Player:Apple iPod:iPod Mini 4 GB:Silber,"Apple ipod mini, gold,",,9/26/05,10/1/05,5,1,181,1,0,N,Y,N,N,Y,N,N,N,N,N,N,1,167.977
94,Audio & Hi-Fi:MP3-Player:Apple iPod:iPod Mini 4 GB:Silber,iPod mini 4 GB Silber OVP,,9/26/05,10/3/05,7,1,72,1,0,N,N,N,N,N,N,N,N,N,N,N,1,167.977
97,Audio & Hi-Fi:MP3-Player:Apple iPod:iPod Mini 4 GB:Silber,Apple ipod Mini 4GB,,9/26/05,10/3/05,7,1,352,1.99,170,Y,N,N,N,N,N,Y,N,N,N,N,1,167.977
98,Audio & Hi-Fi:MP3-Player:Apple iPod:iPod Mini 4 GB:Silber,Apple iPOD mini 4 GB silber - NEU,,9/26/05,10/3/05,7,1,2,1,0,N,Y,N,N,Y,N,N,N,N,N,N,1,167.977
101,Audio & Hi-Fi:MP3-Player:Apple iPod:iPod Mini 4 GB:Blau,TOP: Apple Ipod Mini (blau) mit OVP und Ledertasche,,9/27/05,10/2/05,5,1,206,1,0,N,N,N,N,N,N,Y,N,N,Y,N,1,161.512
102,Audio & Hi-Fi:MP3-Player:Apple iPod:iPod Mini 4 GB:Blau,iPod mini blau/blue 4 GB NEU & OVP,,9/26/05,10/3/05,7,1,26,1,0,N,N,N,N,Y,N,N,N,N,N,N,1,161.512
104,Audio & Hi-Fi:MP3-Player:Apple iPod:iPod Mini 4 GB:Gr¸n,Original APPLE 4 GB IPOD 2. Gen. **NEU**,,9/26/05,10/3/05,7,1,11,50,0,N,Y,N,N,Y,N,N,N,N,N,N,1,164.757
105,Audio & Hi-Fi:MP3-Player:Apple iPod:iPod Mini 4 GB:Silber,APPLE IPOD MINI 4GB SILBER NEU GARANTIE DEUTSCHE WARE,"NUR 185,- ˇ STATT 199,- ˇ BEI UE2000 JETZT ZUGREIFEN !!",9/27/05,10/2/05,5,9,7092,185,0,N,N,N,N,Y,N,N,N,N,N,N,5,167.977
106,Audio & Hi-Fi:MP3-Player:Apple iPod:iPod Mini 4 GB:Silber,"Apple I Pod Mini 4GB Speicher ,Silber , NEU",,9/27/05,10/2/05,5,1,52,1,180,Y,N,N,N,N,N,N,N,N,N,N,1,167.977
107,Audio & Hi-Fi:MP3-Player:Apple iPod:iPod Mini 4 GB:Blau,~ Apple IPOD MINI - BLAU - 4GB - TASCHE - RECHNUNG ~,mit nagelneuen original apple KOPFH÷RERN & LADEGERƒT,9/29/05,10/9/05,10,1,748,1,179,Y,N,N,N,Y,N,N,N,N,Y,N,1,161.512
108,Audio & Hi-Fi:MP3-Player:Apple iPod:iPod Mini 4 GB:Silber,APPLE IPOD MINI  4 GB SILBER MODELL 2005,,9/27/05,10/2/05,5,1,141,1,0,N,N,N,N,Y,N,N,N,N,Y,N,1,167.977
110,Audio & Hi-Fi:MP3-Player:Apple iPod:iPod Mini 4 GB:Silber,"Apple I-Pod Mini 4Gb, Silber Neu Org. verpackt",,9/27/05,10/7/05,10,1,41,1,0,N,N,N,N,N,N,N,N,N,N,N,1,167.977
111,Audio & Hi-Fi:MP3-Player:Apple iPod:iPod Mini 4 GB:Silber,IPod Mini + Zubehˆr + 500 Songs + Manchester United,,9/27/05,10/4/05,7,1,135,1,299,Y,N,N,N,N,N,N,N,N,Y,N,1,167.977
113,Audio & Hi-Fi:MP3-Player:Apple iPod:iPod Mini 4 GB:Blau,iPod Mini 4 GB Blau,,9/27/05,10/4/05,7,1,112,1,0,N,N,N,N,Y,N,Y,N,N,Y,N,1,161.512
114,Audio & Hi-Fi:MP3-Player:Apple iPod:iPod Mini 4 GB:Silber,IPod mini 4GB (Silver) Neu (geschlossen),,9/27/05,10/2/05,5,1,114,1,0,N,N,N,N,Y,N,Y,N,N,N,N,1,167.977
115,Audio & Hi-Fi:MP3-Player:Apple iPod:40 GB,Apple Ipod 4G mit 40GB! ! ! !+Stereo Wireless Kopfhˆrer,,9/27/05,10/7/05,10,1,5,1,0,N,N,N,N,N,N,Y,N,N,N,N,1,221.153
116,Audio & Hi-Fi:MP3-Player:Apple iPod:iPod Mini 4 GB:Silber,"iPod mini 4GB, silber, NEU, Rechnung, inkl. Ladekabel",,9/27/05,10/4/05,7,1,30,77,177,Y,N,N,N,N,N,N,N,N,N,N,1,167.977
