auct_id,item_leaf_category_name,listing_title,listing_subtitle,listing_start_date,listing_end_date,listing_durtn_days,listing_type_code,feedback_score_at_listing_time,start_price,buy_it_now_price,buy_it_now_listed_flag,bold_fee_flag,featured_fee_flag,category_featured_fee_flag,gallery_fee_flag,gallery_featured_fee_flag,ipix_featured_fee_flag,reserve_fee_flag,highlight_fee_flag,schedule_fee_flag,border_fee_flag,qty_available_per_listing,gms,category_avg_gms,gms_greater_avg
1,Audio & Hi-Fi:MP3-Player:Apple iPod:iPod Mini 4 GB:Silber,Apple iPod mini 4 GB 2. Gen. 2005 silber blau pink gr¸n,,6/24/05,11/3/05,132,7,2182,195,0,N,N,N,N,Y,N,N,N,N,N,N,48,195,167.977,1
3,Audio & Hi-Fi:MP3-Player:Apple iPod:iPod Mini 4 GB:Silber,APPLE iPod mini Musicplayer 4GB Mac/Win USB 2.0 silber,,8/13/05,10/11/05,59,7,10604,185,0,N,N,N,N,N,N,N,N,N,N,N,2,185,167.977,1
4,Audio & Hi-Fi:MP3-Player:Apple iPod:iPod Mini 4 GB:Silber,Apple iPOD Mini Silber NEUWARE mit Rechnung/Garantie,,9/8/05,10/23/05,45,7,72,195,0,N,N,N,N,Y,N,N,N,N,N,N,2,195,167.977,1
5,Audio & Hi-Fi:MP3-Player:Apple iPod:iPod Mini 4 GB:Blau,Apple i-Pod mini 4GB BLUE  org. verpackt +Rechnung,Neuwertig +Garantie ¸ber Original-Rechnung (Mediamarkt),10/14/05,10/24/05,10,1,2,85,0,N,Y,N,N,Y,N,Y,N,N,Y,Y,1,172,161.512,1
6,Audio & Hi-Fi:MP3-Player:Apple iPod:iPod Mini 4 GB:Pink,Apple iPod mini 4 GB Rosa,,9/18/05,10/13/05,25,7,136,199,0,N,N,N,N,N,N,N,N,N,N,N,1,199,173.45,1
7,Audio & Hi-Fi:MP3-Player:Apple iPod:iPod Mini 4 GB:Pink,Apple iPod mini 4 GB Rosa,,9/19/05,10/14/05,25,7,136,199,0,N,N,N,N,N,N,N,N,N,N,N,1,199,173.45,1
8,Audio & Hi-Fi:MP3-Player:Apple iPod:iPod Mini 4 GB:Blau,Apple IPod mini blue mit Netzteil - absolut neuwertig,,9/21/05,10/1/05,10,1,6,1,0,N,N,N,N,N,N,N,N,N,N,N,1,167.66,161.512,1
9,Audio & Hi-Fi:MP3-Player:Apple iPod:iPod Mini 4 GB:Gr¸n,iPod Mini 4GB (Gr¸n) + Mega Zubehˆr und Dock + Rechnung,ca. 1 Jahr alt deswegen noch Restgarantie vom Herstelle,9/21/05,10/1/05,10,1,16,1,250,Y,N,N,N,Y,N,N,N,N,N,N,1,171,164.757,1
14,Audio & Hi-Fi:MP3-Player:Apple iPod:iPod Mini 4 GB:Gr¸n,* Neu & OVP * i Pod mini 4GB Gr¸n 1000 Songs PC+Mac,,9/22/05,10/2/05,10,1,10,120,0,N,N,N,N,N,N,N,N,N,N,N,1,161.01,164.757,0
15,Audio & Hi-Fi:MP3-Player:Apple iPod:iPod Mini 4 GB:Blau,iPod mini blau 4GB wie NEU mit Garantie und Socke OVP,,9/22/05,10/2/05,10,1,56,1,0,N,N,N,N,N,N,N,N,N,N,N,1,149,161.512,0
18,Audio & Hi-Fi:MP3-Player:Apple iPod:iPod Mini 4 GB:Silber,"iPod mini silber, nagelneu!!!",,9/22/05,10/2/05,10,1,26,1,0,N,Y,N,N,Y,N,Y,N,N,N,N,1,161,167.977,0
20,Audio & Hi-Fi:MP3-Player:Apple iPod:iPod Mini 4 GB:Silber,ipod mini 4 GB silber wie neu Modell 2005 mit Rechnung,"incl. Zubehˆr,networx silicon skin",9/22/05,10/2/05,10,1,524,1,0,N,N,N,N,N,N,N,N,N,N,N,1,144,167.977,0
22,Audio & Hi-Fi:MP3-Player:Apple iPod:iPod Mini 4 GB:Blau,Apple iPod mini 4 GB blau - 1000 songs PC + MAC  OVP!!!,,9/22/05,10/2/05,10,1,104,1,0,N,N,N,N,N,N,N,N,N,N,N,1,173,161.512,1
24,Audio & Hi-Fi:MP3-Player:Apple iPod:iPod Mini 4 GB:Pink,Apple ipod mini 2005  pink 4 GB wie NEU OVP,,9/23/05,10/3/05,10,1,4,1,0,N,Y,N,N,Y,N,Y,N,N,N,N,1,161,173.45,0
25,Audio & Hi-Fi:MP3-Player:Apple iPod:iPod Mini 4 GB:Blau,Apple iPOD Mini 4GB Blau - Neu mit Rechnung,,9/23/05,10/3/05,10,1,120,1,0,N,Y,N,N,Y,N,N,N,N,N,N,1,158,161.512,0
26,Audio & Hi-Fi:MP3-Player:Apple iPod:iPod Mini 4 GB:Silber,Apple iPod mini 4 GB silber Mac/Windows dt. 2005 2.Gen.,,9/23/05,10/3/05,10,1,0,1,0,N,N,N,N,N,N,N,N,N,N,N,1,162,167.977,0
27,Audio & Hi-Fi:MP3-Player:Apple iPod:iPod Mini 4 GB:Silber,ipod mini 4GB mit Zubehˆr !!!,,9/24/05,10/1/05,7,1,17,1,0,N,Y,N,N,Y,N,Y,N,N,Y,N,1,148.01,167.977,0
29,Audio & Hi-Fi:MP3-Player:Apple iPod:iPod Mini 4 GB:Pink,Apple iPod mini 4GB mit Zubehˆr und itrip,,9/23/05,10/3/05,10,1,192,1,160,Y,Y,N,N,Y,N,N,N,N,N,N,1,184.69,173.45,1
31,Audio & Hi-Fi:MP3-Player:Apple iPod:iPod Mini 4 GB:Pink,Apple iPod Mini Pink 4GB / 2. Generation,,9/24/05,10/1/05,7,1,194,1,0,N,N,N,N,Y,N,Y,N,N,Y,N,1,146.6,173.45,0
32,Audio & Hi-Fi:MP3-Player:Apple iPod:40 GB,**Apple i Pod Photo 40GB**TOP-Zustand**,,9/24/05,10/1/05,7,1,2,1,0,N,N,N,N,N,N,Y,N,N,N,N,1,291,221.153,1
35,Audio & Hi-Fi:MP3-Player:Apple iPod:iPod Mini 4 GB:Gr¸n,I-Pod Mini (Super Preis),So gut wie neu,9/24/05,10/1/05,7,1,4,100,0,N,Y,N,N,N,N,N,N,N,N,N,1,116,164.757,0
36,Audio & Hi-Fi:MP3-Player:Apple iPod:iPod Mini 4 GB:Silber,"Ipod mini 4 GB, Silber - TOP ZUSTAND",,9/25/05,10/2/05,7,1,9,1,0,N,Y,N,N,Y,N,Y,N,N,Y,N,1,131,167.977,0
37,Audio & Hi-Fi:MP3-Player:Apple iPod:iPod Mini 4 GB:Silber,APPLE iPod mini 4 GB - 1000 Songs PC + Mac,,9/24/05,10/4/05,10,1,169,1,0,N,N,N,N,Y,N,Y,N,N,N,N,1,166.52,167.977,0
39,Audio & Hi-Fi:MP3-Player:Apple iPod:iPod Mini 4 GB:Blau,I Pod mini  4 GB  Blue Ger‰t  Neu,,9/24/05,10/1/05,7,1,454,99,0,N,N,N,N,N,N,Y,N,N,N,N,1,193,161.512,1
40,Audio & Hi-Fi:MP3-Player:Apple iPod:40 GB,Apple iPod! 40 GB! 3. Gen.! Wie neu! Top gepflegt!,,9/24/05,10/4/05,10,1,47,1,0,N,N,N,N,Y,N,Y,N,N,N,N,1,250.53,221.153,1
43,Audio & Hi-Fi:MP3-Player:Apple iPod:iPod Mini 4 GB:Pink,*** Ipod Mini 4GB rosa***,,9/24/05,10/1/05,7,1,54,1,0,N,N,N,N,N,N,N,N,N,N,N,1,132.77,173.45,0
45,Audio & Hi-Fi:MP3-Player:Apple iPod:iPod Mini 4 GB:Gr¸n,"Apple iPod mini, 4GB - gr¸n, super gepflegt",,9/24/05,10/1/05,7,1,217,1,0,N,N,N,N,N,N,N,N,N,N,N,1,151,164.757,0
46,Audio & Hi-Fi:MP3-Player:Apple iPod:iPod Mini 4 GB:Gr¸n,iPod Mini 4GB,,9/25/05,10/2/05,7,1,29,1,0,N,N,N,N,N,N,N,N,N,Y,N,1,130.9,164.757,0
48,Audio & Hi-Fi:MP3-Player:Apple iPod:iPod Mini 4 GB:Pink,Apple iPod mini pink - neu + Rechnung,,9/25/05,10/2/05,7,1,22,1,0,N,N,N,N,Y,N,N,N,N,N,N,1,180.01,173.45,1
49,Audio & Hi-Fi:MP3-Player:Apple iPod:iPod Mini 4 GB:Gold,iPod mini m. Dock und Ledertasche!! ->f¸r Salsa-Freunde,,9/26/05,10/3/05,7,1,15,111,0,N,Y,N,N,N,N,N,N,N,Y,N,1,147.23,158.578,0
52,Audio & Hi-Fi:MP3-Player:Apple iPod:iPod Mini 4 GB:Blau,Apple iPod mini blau 4GB ***wie NEU*** in OVP,,9/25/05,10/2/05,7,1,101,1,0,N,N,N,N,Y,N,N,N,N,Y,N,1,134.33,161.512,0
61,Audio & Hi-Fi:MP3-Player:Apple iPod:iPod Mini 4 GB:Silber,iPod mini - Silber - neu,,9/25/05,10/2/05,7,1,288,1,0,N,N,N,N,Y,N,Y,N,N,N,N,1,170,167.977,1
63,Audio & Hi-Fi:MP3-Player:Apple iPod:iPod Mini 4 GB:Gold,NEU Apple iPod mini 4GB Gold NEU,,9/25/05,10/2/05,7,1,13,1,0,N,N,N,N,N,N,N,N,N,N,N,1,151,158.578,0
64,Audio & Hi-Fi:MP3-Player:Apple iPod:iPod Mini 4 GB:Silber,+++ iPod mini 4 GB silber neues Modell Garantie +++,,9/25/05,10/2/05,7,1,610,1,149,Y,Y,N,N,Y,N,N,N,N,Y,N,1,151.51,167.977,0
65,Audio & Hi-Fi:MP3-Player:Apple iPod:iPod Mini 4 GB:Silber,Apple Ipod mini 4 gb *Neu* & #OVP# 2 Jahre Garantie,,9/25/05,10/2/05,7,1,178,1,165,Y,N,N,N,N,N,N,N,N,N,N,1,169,167.977,1
66,Audio & Hi-Fi:MP3-Player:Apple iPod:iPod Mini 4 GB:Silber,Apple iPod mini *silber* mit viel Zubehˆr,,9/25/05,10/5/05,10,1,164,1,169,Y,N,N,N,N,N,Y,N,N,N,N,1,176,167.977,1
67,Audio & Hi-Fi:MP3-Player:Apple iPod:iPod Mini 4 GB:Silber,Apple IPod Mini 4 GB Silver Neu und Garantie,,9/25/05,10/2/05,7,1,8,1,0,N,N,N,N,N,N,N,N,N,N,N,1,164,167.977,0
70,Audio & Hi-Fi:MP3-Player:Apple iPod:iPod Mini 4 GB:Blau,ipod mini in blau - NEU und original verpackt!!!,,9/25/05,10/2/05,7,1,76,1,0,N,N,N,N,N,N,Y,N,N,N,N,1,158,161.512,0
71,Audio & Hi-Fi:MP3-Player:Apple iPod:iPod Mini 4 GB:Blau,Apple Ipod mini 4GB blau OVP,,9/25/05,10/2/05,7,1,47,1,0,N,N,N,N,N,N,N,N,N,N,N,1,124,161.512,0
72,Audio & Hi-Fi:MP3-Player:Apple iPod:iPod Mini 4 GB:Pink,Apple iPod mini pink 4 GB mit Zubehˆr OVP Top Zustand,,9/25/05,10/2/05,7,1,64,1,0,N,N,N,N,N,N,N,N,N,N,N,1,140,173.45,0
73,Audio & Hi-Fi:MP3-Player:Apple iPod:iPod Mini 4 GB:Gr¸n,I pod mini *neu*,,9/25/05,10/2/05,7,1,181,1,179,Y,N,N,N,Y,N,N,N,Y,N,N,1,153.99,164.757,0
74,Audio & Hi-Fi:MP3-Player:Apple iPod:iPod Mini 4 GB:Silber,Apple iPod Mini 4GB Silber NEU & OVP,,9/25/05,10/2/05,7,1,153,1,0,N,N,N,N,N,N,N,N,N,N,N,1,157,167.977,0
76,Audio & Hi-Fi:MP3-Player:Apple iPod:40 GB,"Apple iPod Photo 40 GB - Top Zustand, OVP",,9/25/05,10/2/05,7,1,34,1,0,N,Y,N,N,Y,N,Y,N,Y,N,N,1,300,221.153,1
79,Audio & Hi-Fi:MP3-Player:Apple iPod:iPod Mini 4 GB:Blau,Apple i-Pod mini,,9/25/05,10/2/05,7,1,22,1,0,N,N,N,N,Y,N,N,N,N,N,N,1,171,161.512,1
80,Audio & Hi-Fi:MP3-Player:Apple iPod:iPod Mini 4 GB:Silber,iPod mini 4 GB silber originalverpackt,,9/27/05,10/2/05,5,1,24,1,0,N,N,N,N,N,N,N,N,N,Y,N,1,165,167.977,0
81,Audio & Hi-Fi:MP3-Player:Apple iPod:iPod Mini 4 GB:Silber,"iPod Mini Silber 4 GB mit Zubehˆr, Wie NEU!!",,9/26/05,10/3/05,7,1,61,1,170,Y,Y,N,N,Y,N,Y,N,N,N,N,1,142,167.977,0
84,Audio & Hi-Fi:MP3-Player:Apple iPod:iPod Mini 4 GB:Blau,iPod Mini 4 GB blau + ITrip FM Transmitter + OVP,,9/26/05,10/1/05,5,1,52,1,0,N,N,N,N,Y,N,N,N,N,Y,N,1,156.59,161.512,0
85,Audio & Hi-Fi:MP3-Player:Apple iPod:iPod Mini 4 GB:Pink,Apple IPOD mini pink neu 4 Gigabyte Mp3 Player itunes,,9/26/05,10/2/05,6,9,113,190,0,N,N,N,N,N,N,N,N,N,N,N,1,190,173.45,1
86,Audio & Hi-Fi:MP3-Player:Apple iPod:iPod Mini 4 GB:Silber,"MINI-IPOD 4 GB Silver, OVP+Rechnung",,9/26/05,10/6/05,10,1,174,1,0,N,N,N,N,N,N,N,N,N,N,N,1,157,167.977,0
